Player,Team,Opponent,Date,Result,Minutes,Points,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TO,STL,BLK,PF,+/-,SPI
Dwight Powell,DAL,DAL @ UTA,03/25/2024,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0.0
Tristan Vukcevic,WAS,WAS @ CHI,03/25/2024,W,9,6,2,5,40.0,2,4,50.0,0,0,-,0,3,3,0,0,0,1,2,-5,8.6
Jules Bernard,WAS,WAS @ CHI,03/25/2024,W,13,3,1,5,20.0,1,2,50.0,0,0,-,0,2,2,1,1,0,0,3,-5,9.9
Justin Champagnie,WAS,WAS @ CHI,03/25/2024,W,28,8,2,8,25.0,2,8,25.0,2,4,50.0,0,3,3,3,0,1,0,4,5,19.1
Jordan Poole,WAS,WAS @ CHI,03/25/2024,W,29,23,8,20,40.0,4,12,33.3,3,3,100,1,2,3,5,0,0,2,4,3,32.1
Coby White,CHI,CHI vs. WAS,03/25/2024,L,36,22,6,20,30.0,2,11,18.2,8,8,100,0,4,4,5,0,1,1,1,-2,36.3
Jevon Carter,CHI,CHI vs. WAS,03/25/2024,L,16,8,3,5,60.0,2,4,50.0,0,0,-,0,0,0,1,0,0,0,1,-1,9.5
Marvin Bagley III,WAS,WAS @ CHI,03/25/2024,W,17,16,7,8,87.5,0,0,-,2,2,100,1,1,2,0,0,0,1,0,11,17.4
Torrey Craig,CHI,CHI vs. WAS,03/25/2024,L,19,5,2,7,28.6,1,6,16.7,0,0,-,0,2,2,2,2,0,0,1,-10,16.4
Andre Drummond,CHI,CHI vs. WAS,03/25/2024,L,19,10,5,9,55.6,0,0,-,0,0,-,3,9,12,1,0,2,0,0,9,31.9
DeMar DeRozan,CHI,CHI vs. WAS,03/25/2024,L,38,27,9,22,40.9,1,4,25.0,8,11,72.7,0,2,2,6,5,1,3,1,9,53.4
Precious Achiuwa,NYK,NYK vs. DET,03/25/2024,W,26,9,3,5,60.0,0,0,-,3,6,50.0,5,11,16,1,1,1,2,2,3,33.7
Chimezie Metu,DET,DET @ NYK,03/25/2024,L,17,6,3,4,75.0,0,0,-,0,0,-,0,2,2,4,2,1,0,3,-2,23.4
Trendon Watford,BKN,BKN @ TOR,03/25/2024,W,21,19,7,10,70.0,2,4,50.0,3,5,60.0,2,5,7,0,0,0,4,5,2,23.4
Jacob Gilyard,BKN,BKN @ TOR,03/25/2024,W,11,0,0,2,0.0,0,2,0.0,0,0,-,0,0,0,1,1,0,0,2,0,4.5
Clint Capela,ATL,ATL vs. BOS,03/25/2024,W,29,14,6,10,60.0,0,0,-,2,4,50.0,5,7,12,3,0,2,1,3,6,37.9
De'Andre Hunter,ATL,ATL vs. BOS,03/25/2024,W,34,24,8,14,57.1,4,8,50.0,4,4,100,3,4,7,3,0,0,2,3,2,34.9
Dylan Windler,ATL,ATL vs. BOS,03/25/2024,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4,0.0
Payton Pritchard,BOS,BOS @ ATL,03/25/2024,L,28,15,7,12,58.3,1,5,20.0,0,2,0.0,1,4,5,6,0,0,0,3,-5,30.0
Vit Krejci,ATL,ATL vs. BOS,03/25/2024,W,33,16,6,11,54.5,4,7,57.1,0,0,-,2,4,6,2,1,0,3,3,-5,26.2
Kristaps Porzingis,BOS,BOS @ ATL,03/25/2024,L,34,17,7,14,50.0,1,4,25.0,2,2,100,5,0,5,2,0,3,3,3,-7,32.0
Oshae Brissett,BOS,BOS @ ATL,03/25/2024,L,11,0,0,0,-,0,0,-,0,0,-,0,1,1,2,0,0,0,1,12,4.2
Dejounte Murray,ATL,ATL vs. BOS,03/25/2024,W,41,19,8,22,36.4,2,9,22.2,1,4,25.0,1,4,5,15,3,0,1,0,6,55.5
Jaylen Brown,BOS,BOS @ ATL,03/25/2024,L,37,24,10,22,45.5,2,7,28.6,2,4,50.0,2,2,4,1,2,0,1,3,-2,35.3
Al Horford,BOS,BOS @ ATL,03/25/2024,L,36,7,3,5,60.0,1,2,50.0,0,0,-,1,8,9,2,1,1,1,1,-5,25.8
Wesley Matthews,ATL,ATL vs. BOS,03/25/2024,W,17,6,2,4,50.0,2,3,66.7,0,0,-,1,3,4,0,0,0,1,0,3,9.8
Bogdan Bogdanovic,ATL,ATL vs. BOS,03/25/2024,W,40,22,8,15,53.3,4,7,57.1,2,3,66.7,0,4,4,3,1,0,2,3,7,32.3
Jayson Tatum,BOS,BOS @ ATL,03/25/2024,L,39,37,13,26,50.0,2,7,28.6,9,11,81.8,2,6,8,5,2,1,2,1,3,61.1
Luke Kornet,BOS,BOS @ ATL,03/25/2024,L,10,4,2,2,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,4,4.0
Bruno Fernando,ATL,ATL vs. BOS,03/25/2024,W,19,13,6,7,85.7,0,0,-,1,2,50.0,2,1,3,3,0,0,2,3,-4,19.1
Svi Mykhailiuk,BOS,BOS @ ATL,03/25/2024,L,11,6,2,2,100,2,2,100,0,0,-,0,0,0,3,0,0,0,0,0,10.5
Garrison Mathews,ATL,ATL vs. BOS,03/25/2024,W,19,6,2,2,100,2,2,100,0,0,-,0,1,1,0,0,0,0,3,3,7.2
Trent Forrest,ATL,ATL vs. BOS,03/25/2024,W,7,0,0,2,0.0,0,0,-,0,0,-,1,1,2,1,0,1,1,0,-4,5.9
Jaden Springer,BOS,BOS @ ATL,03/25/2024,L,8,2,1,2,50.0,0,1,0.0,0,0,-,0,1,1,0,0,1,0,2,-3,6.2
Sam Hauser,BOS,BOS @ ATL,03/25/2024,L,27,6,2,10,20.0,2,10,20.0,0,0,-,1,4,5,0,2,2,0,2,-7,24.0
Isaiah Hartenstein,NYK,NYK vs. DET,03/25/2024,W,24,6,3,6,50.0,0,0,-,0,0,-,2,8,10,5,1,3,0,3,27,37.5
Troy Brown Jr.,DET,DET @ NYK,03/25/2024,L,25,5,1,6,16.7,1,3,33.3,2,2,100,1,5,6,0,0,0,1,1,-20,11.2
Jalen Brunson,NYK,NYK vs. DET,03/25/2024,W,30,28,10,20,50.0,3,7,42.9,5,5,100,0,2,2,6,0,0,0,3,37,39.4
Shake Milton,NYK,NYK vs. DET,03/25/2024,W,5,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,2,-5,1.5
Mamadi Diakite,NYK,NYK vs. DET,03/25/2024,W,3,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,1,0,-2,-1.0
James Wiseman,DET,DET @ NYK,03/25/2024,L,31,14,7,11,63.6,0,0,-,0,0,-,2,9,11,1,0,1,4,3,-23,27.7
Jericho Sims,NYK,NYK vs. DET,03/25/2024,W,7,1,0,0,-,0,0,-,1,2,50.0,0,0,0,0,0,0,0,0,-5,1.0
Jaden Ivey,DET,DET @ NYK,03/25/2024,L,24,9,2,14,14.3,1,6,16.7,4,4,100,2,2,4,3,2,1,2,2,-21,25.3
Marcus Sasser,DET,DET @ NYK,03/25/2024,L,35,24,7,18,38.9,1,6,16.7,9,10,90.0,0,1,1,6,1,0,1,2,-28,36.2
Tosan Evbuomwan,DET,DET @ NYK,03/25/2024,L,16,3,1,3,33.3,1,1,100,0,0,-,1,1,2,0,0,0,0,3,-27,5.4
Jordan Nwora,TOR,TOR vs. BKN,03/25/2024,L,20,5,2,7,28.6,0,3,0.0,1,2,50.0,0,4,4,2,2,0,1,1,-1,17.8
Nic Claxton,BKN,BKN @ TOR,03/25/2024,W,35,9,4,5,80.0,0,0,-,1,2,50.0,5,11,16,2,0,1,3,4,14,31.2
Donte DiVincenzo,NYK,NYK vs. DET,03/25/2024,W,41,40,14,23,60.9,11,20,55.0,1,3,33.3,1,4,5,2,2,1,4,2,21,54.0
Josh Hart,NYK,NYK vs. DET,03/25/2024,W,40,11,4,10,40.0,1,3,33.3,2,2,100,3,11,14,10,1,0,3,0,26,42.8
Evan Fournier,DET,DET @ NYK,03/25/2024,L,20,15,5,11,45.5,1,4,25.0,4,4,100,0,2,2,2,1,0,1,1,-5,22.4
Bojan Bogdanovic,NYK,NYK vs. DET,03/25/2024,W,18,13,5,11,45.5,2,7,28.6,1,2,50.0,0,0,0,1,0,0,2,2,-3,12.5
Pete Nance,CLE,CLE vs. CHA,03/25/2024,W,3,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,1,2,1.2
Nick Smith Jr.,CHA,CHA @ CLE,03/25/2024,L,3,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,2.0
Emoni Bates,CLE,CLE vs. CHA,03/25/2024,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0.0
Amari Bailey,CHA,CHA @ CLE,03/25/2024,L,3,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,0.0
Davis Bertans,CHA,CHA @ CLE,03/25/2024,L,17,3,1,4,25.0,1,2,50.0,0,0,-,0,0,0,1,0,0,0,0,-13,4.5
Caris LeVert,CLE,CLE vs. CHA,03/25/2024,W,33,7,3,13,23.1,1,5,20.0,0,0,-,1,6,7,7,1,2,4,3,11,30.9
Georges Niang,CLE,CLE vs. CHA,03/25/2024,W,25,17,6,11,54.5,5,10,50.0,0,0,-,0,3,3,2,0,0,1,4,19,22.6
Grant Williams,CHA,CHA @ CLE,03/25/2024,L,27,12,5,12,41.7,1,6,16.7,1,1,100,1,1,2,1,2,1,0,4,-24,24.9
Nick Richards,CHA,CHA @ CLE,03/25/2024,L,23,11,3,6,50.0,0,0,-,5,5,100,1,2,3,1,0,2,1,0,-4,21.1
Sam Merrill,CLE,CLE vs. CHA,03/25/2024,W,25,12,4,8,50.0,4,8,50.0,0,0,-,1,3,4,2,0,0,0,0,17,19.8
Tre Mann,CHA,CHA @ CLE,03/25/2024,L,34,12,5,11,45.5,2,3,66.7,0,0,-,1,6,7,5,0,0,3,2,-13,24.9
Evan Mobley,CLE,CLE vs. CHA,03/25/2024,W,25,17,8,12,66.7,0,2,0.0,1,3,33.3,1,6,7,8,1,0,1,2,14,39.4
Brandon Miller,CHA,CHA @ CLE,03/25/2024,L,37,24,8,18,44.4,3,8,37.5,5,5,100,0,8,8,3,0,0,3,1,-10,35.1
Craig Porter Jr.,CLE,CLE vs. CHA,03/25/2024,W,14,9,4,6,66.7,1,2,50.0,0,1,0.0,0,1,1,4,0,1,0,0,8,19.2
Dennis Schroder,BKN,BKN @ TOR,03/25/2024,W,37,19,7,15,46.7,1,7,14.3,4,4,100,2,3,5,7,0,0,3,2,8,32.5
Kelly Olynyk,TOR,TOR vs. BKN,03/25/2024,L,30,10,4,9,44.4,0,3,0.0,2,2,100,2,2,4,9,1,1,4,3,-9,30.3
Gary Trent Jr.,TOR,TOR vs. BKN,03/25/2024,L,30,18,7,17,41.2,2,7,28.6,2,2,100,0,2,2,2,0,0,0,2,-9,23.4
Lonnie Walker IV,BKN,BKN @ TOR,03/25/2024,W,9,0,0,6,0.0,0,4,0.0,0,0,-,0,0,0,0,0,0,0,1,-7,0.0
Ochai Agbaji,TOR,TOR vs. BKN,03/25/2024,L,31,11,5,11,45.5,1,2,50.0,0,0,-,3,2,5,1,1,1,0,1,-10,24.5
Day'Ron Sharpe,BKN,BKN @ TOR,03/25/2024,W,8,6,3,5,60.0,0,0,-,0,0,-,1,2,3,1,0,1,0,2,-6,14.1
Jalen Wilson,BKN,BKN @ TOR,03/25/2024,W,30,12,4,10,40.0,1,4,25.0,3,3,100,1,4,5,2,0,0,0,0,8,21.0
Javon Freeman-Liberty,TOR,TOR vs. BKN,03/25/2024,L,29,15,7,12,58.3,0,2,0.0,1,2,50.0,1,3,4,2,1,0,0,2,-9,25.8
Mouhamadou Gueye,TOR,TOR vs. BKN,03/25/2024,L,12,2,1,3,33.3,0,1,0.0,0,0,-,1,0,1,0,0,0,0,0,-8,3.2
Noah Clowney,BKN,BKN @ TOR,03/25/2024,W,21,7,3,7,42.9,1,3,33.3,0,2,0.0,1,5,6,0,1,1,1,0,7,19.2
Garrett Temple,TOR,TOR vs. BKN,03/25/2024,L,16,2,1,2,50.0,0,1,0.0,0,0,-,0,3,3,4,1,0,0,1,4,14.6
Dorian Finney-Smith,BKN,BKN @ TOR,03/25/2024,W,30,11,4,6,66.7,1,3,33.3,2,2,100,3,2,5,3,1,1,0,0,7,27.5
Kobi Simmons,TOR,TOR vs. BKN,03/25/2024,L,17,7,3,6,50.0,1,2,50.0,0,0,-,1,1,2,0,2,0,1,1,1,14.4
Mikal Bridges,BKN,BKN @ TOR,03/25/2024,W,37,13,5,15,33.3,3,12,25.0,0,0,-,1,2,3,4,0,0,7,0,7,15.6
Bruce Brown,TOR,TOR vs. BKN,03/25/2024,L,22,10,4,7,57.1,1,1,100,1,2,50.0,0,2,2,1,1,0,2,2,-5,14.9
Damian Lillard,MIL,MIL vs. OKC,03/24/2024,W,33,11,4,12,33.3,2,5,40.0,1,1,100,0,6,6,5,0,0,1,2,18,24.7
Jae Crowder,MIL,MIL vs. OKC,03/24/2024,W,18,10,4,4,100,2,2,100,0,0,-,0,2,2,2,1,0,0,1,10,18.4
Pat Connaughton,MIL,MIL vs. OKC,03/24/2024,W,19,11,5,9,55.6,1,5,20.0,0,0,-,0,1,1,1,0,0,1,2,17,12.7
Kenrich Williams,OKC,OKC @ MIL,03/24/2024,L,19,6,2,7,28.6,0,3,0.0,2,2,100,1,3,4,2,1,0,0,3,-16,16.8
Aaron Wiggins,OKC,OKC @ MIL,03/24/2024,L,18,8,2,3,66.7,0,0,-,4,5,80.0,2,1,3,0,1,0,2,1,-8,12.6
Jalen Williams,OKC,OKC @ MIL,03/24/2024,L,29,18,8,15,53.3,1,4,25.0,1,2,50.0,3,0,3,4,1,0,0,3,-17,30.6
Cason Wallace,OKC,OKC @ MIL,03/24/2024,L,24,5,2,9,22.2,1,7,14.3,0,0,-,1,1,2,0,2,0,1,3,-9,12.4
Bismack Biyombo,OKC,OKC @ MIL,03/24/2024,L,5,0,0,0,-,0,0,-,0,2,0.0,0,0,0,0,1,0,2,0,-1,1.0
Bobby Portis,MIL,MIL vs. OKC,03/24/2024,W,28,15,7,13,53.8,0,2,0.0,1,2,50.0,1,5,6,2,3,0,3,3,17,31.2
Chris Livingston,MIL,MIL vs. OKC,03/24/2024,W,3,2,1,2,50.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,1,2.0
Thanasis Antetokounmpo,MIL,MIL vs. OKC,03/24/2024,W,3,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,0,0,1,1,2.7
Patrick Beverley,MIL,MIL vs. OKC,03/24/2024,W,15,1,0,2,0.0,0,1,0.0,1,2,50.0,1,3,4,4,0,2,0,1,12,17.8
Luguentz Dort,OKC,OKC @ MIL,03/24/2024,L,22,7,2,8,25.0,1,6,16.7,2,2,100,0,3,3,0,0,0,0,2,-18,10.6
Josh Giddey,OKC,OKC @ MIL,03/24/2024,L,29,19,7,12,58.3,4,6,66.7,1,1,100,0,9,9,8,0,0,1,2,-3,40.8
Evan Fournier,DET,DET vs. NOP,03/24/2024,L,10,2,0,5,0.0,0,4,0.0,2,2,100,0,1,1,0,0,0,0,0,-8,3.2
Jaden Ivey,DET,DET vs. NOP,03/24/2024,L,29,16,5,12,41.7,3,7,42.9,3,4,75.0,1,1,2,4,1,0,4,3,-15,23.4
Tosan Evbuomwan,DET,DET vs. NOP,03/24/2024,L,29,7,3,8,37.5,0,4,0.0,1,2,50.0,1,6,7,1,0,1,2,4,-8,17.9
Larry Nance Jr.,NOP,NOP @ DET,03/24/2024,W,27,9,4,4,100,0,0,-,1,2,50.0,0,3,3,2,0,0,0,3,9,15.6
Troy Brown Jr.,DET,DET vs. NOP,03/24/2024,L,20,6,1,8,12.5,0,4,0.0,4,5,80.0,0,6,6,2,0,0,2,1,-4,14.2
Andre Jackson Jr.,MIL,MIL vs. OKC,03/24/2024,W,4,0,0,0,-,0,0,-,0,0,-,2,1,3,2,0,0,1,1,3,5.6
Jaylin Williams,OKC,OKC @ MIL,03/24/2024,L,8,0,0,1,0.0,0,1,0.0,0,0,-,0,3,3,1,0,0,0,1,-10,5.1
Chet Holmgren,OKC,OKC @ MIL,03/24/2024,L,25,6,1,10,10.0,0,5,0.0,4,4,100,1,3,4,0,0,0,1,1,-1,9.8
MarJon Beauchamp,MIL,MIL vs. OKC,03/24/2024,W,4,2,1,2,50.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,1,4,2.0
Lindy Waters III,OKC,OKC @ MIL,03/24/2024,L,7,6,2,4,50.0,1,3,33.3,1,1,100,0,0,0,0,0,0,0,0,-2,6.0
Isaiah Joe,OKC,OKC @ MIL,03/24/2024,L,8,6,2,5,40.0,2,4,50.0,0,0,-,1,0,1,0,0,0,0,0,-13,7.2
Shai Gilgeous-Alexander,OKC,OKC @ MIL,03/24/2024,L,30,12,5,12,41.7,0,3,0.0,2,3,66.7,0,3,3,2,3,1,4,0,-17,26.6
Malik Beasley,MIL,MIL vs. OKC,03/24/2024,W,25,8,3,6,50.0,2,5,40.0,0,0,-,0,2,2,0,1,0,1,2,7,12.4
Giannis Antetokounmpo,MIL,MIL vs. OKC,03/24/2024,W,34,30,13,18,72.2,0,0,-,4,6,66.7,8,11,19,4,0,1,3,3,7,58.8
Mike Muscala,OKC,OKC @ MIL,03/24/2024,L,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0.0
Khris Middleton,MIL,MIL vs. OKC,03/24/2024,W,27,11,5,11,45.5,1,5,20.0,0,0,-,2,8,10,10,0,1,5,3,10,36.0
Gordon Hayward,OKC,OKC @ MIL,03/24/2024,L,14,0,0,3,0.0,0,1,0.0,0,0,-,1,1,2,3,0,0,1,0,-10,5.9
Brook Lopez,MIL,MIL vs. OKC,03/24/2024,W,23,14,5,11,45.5,2,5,40.0,2,3,66.7,1,2,3,2,1,1,0,1,14,26.6
Danilo Gallinari,MIL,MIL vs. OKC,03/24/2024,W,4,3,1,2,50.0,1,2,50.0,0,0,-,0,0,0,0,1,0,1,0,4,5.0
Jarrett Allen,CLE,CLE @ MIA,03/24/2024,L,22,9,3,7,42.9,0,0,-,3,4,75.0,0,4,4,3,0,0,2,1,-17,16.3
Darius Garland,CLE,CLE @ MIA,03/24/2024,L,22,9,4,9,44.4,1,4,25.0,0,0,-,0,3,3,3,0,0,1,4,-17,16.1
Isaac Okoro,CLE,CLE @ MIA,03/24/2024,L,19,3,1,5,20.0,1,3,33.3,0,0,-,0,1,1,0,0,0,3,0,-20,1.2
Nikola Jovic,MIA,MIA vs. CLE,03/24/2024,W,18,8,3,6,50.0,2,4,50.0,0,0,-,0,0,0,1,1,0,2,3,24,10.5
Orlando Robinson,MIA,MIA vs. CLE,03/24/2024,W,5,0,0,1,0.0,0,0,-,0,0,-,1,0,1,1,0,0,0,0,-2,2.7
Jamal Cain,MIA,MIA vs. CLE,03/24/2024,W,9,5,2,2,100,1,1,100,0,0,-,1,1,2,2,0,0,1,1,-1,9.4
Cole Swider,MIA,MIA vs. CLE,03/24/2024,W,7,3,1,3,33.3,1,2,50.0,0,0,-,0,1,1,0,0,0,1,0,2,3.2
Jose Alvarado,NOP,NOP @ DET,03/24/2024,W,21,4,1,6,16.7,0,3,0.0,2,2,100,2,3,5,3,0,1,0,2,7,17.5
Marcus Sasser,DET,DET vs. NOP,03/24/2024,L,27,3,1,5,20.0,1,3,33.3,0,0,-,0,1,1,3,1,1,2,3,-3,12.7
Caris LeVert,CLE,CLE @ MIA,03/24/2024,L,20,2,1,5,20.0,0,3,0.0,0,2,0.0,1,2,3,1,1,0,0,2,-26,10.1
Damian Jones,CLE,CLE @ MIA,03/24/2024,L,11,9,3,3,100,0,0,-,3,3,100,0,0,0,0,0,0,1,3,0,8.0
Terry Rozier,MIA,MIA vs. CLE,03/24/2024,W,31,14,6,14,42.9,0,6,0.0,2,2,100,0,3,3,5,1,0,0,1,26,28.1
Jimmy Butler,MIA,MIA vs. CLE,03/24/2024,W,24,15,3,6,50.0,1,2,50.0,8,9,88.9,0,3,3,6,1,0,2,3,32,28.6
Marcus Morris Sr.,CLE,CLE @ MIA,03/24/2024,L,21,7,3,10,30.0,0,3,0.0,1,2,50.0,0,2,2,2,1,1,0,0,-20,18.4
Paul Reed,PHI,PHI @ LAC,03/24/2024,W,24,10,4,6,66.7,0,0,-,2,2,100,3,5,8,3,3,2,0,4,17,39.1
KJ Martin,PHI,PHI @ LAC,03/24/2024,W,24,8,4,6,66.7,0,1,0.0,0,1,0.0,1,1,2,4,1,1,0,3,15,22.4
Tyrese Maxey,PHI,PHI @ LAC,03/24/2024,W,44,24,9,17,52.9,3,5,60.0,3,4,75.0,1,0,1,6,1,1,0,2,15,40.2
Amir Coffey,LAC,LAC vs. PHI,03/24/2024,L,24,2,1,3,33.3,0,0,-,0,0,-,0,1,1,1,0,1,0,2,-16,7.7
Norman Powell,LAC,LAC vs. PHI,03/24/2024,L,25,20,7,11,63.6,3,5,60.0,3,3,100,1,0,1,1,0,0,1,1,-15,21.7
Cameron Payne,PHI,PHI @ LAC,03/24/2024,W,24,23,8,15,53.3,5,10,50.0,2,2,100,1,4,5,3,1,2,4,2,16,38.5
Mason Plumlee,LAC,LAC vs. PHI,03/24/2024,L,12,8,2,2,100,0,0,-,4,4,100,2,3,5,1,0,1,2,1,-11,16.5
Tobias Harris,PHI,PHI @ LAC,03/24/2024,W,38,24,11,19,57.9,2,4,50.0,0,0,-,1,3,4,4,1,1,3,2,8,37.8
Paul George,LAC,LAC vs. PHI,03/24/2024,L,34,18,7,15,46.7,4,8,50.0,0,0,-,1,2,3,1,0,1,5,2,-18,21.1
James Harden,LAC,LAC vs. PHI,03/24/2024,L,34,12,5,13,38.5,0,6,0.0,2,2,100,1,3,4,14,1,1,2,0,-16,41.8
Ricky Council IV,PHI,PHI @ LAC,03/24/2024,W,2,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,0,0,0,3.0
Kobe Brown,LAC,LAC vs. PHI,03/24/2024,L,5,4,2,2,100,0,0,-,0,0,-,0,1,1,0,0,0,0,1,3,5.2
Brandon Boston Jr.,LAC,LAC vs. PHI,03/24/2024,L,12,4,2,4,50.0,0,0,-,0,0,-,0,2,2,0,0,0,0,1,4,6.4
Jeff Dowtin Jr.,PHI,PHI @ LAC,03/24/2024,W,12,3,1,3,33.3,1,3,33.3,0,0,-,0,4,4,3,0,0,0,0,-5,12.3
Xavier Moon,LAC,LAC vs. PHI,03/24/2024,L,4,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,1,0,1,1,0,0,3.5
Terance Mann,LAC,LAC vs. PHI,03/24/2024,L,23,6,2,5,40.0,2,2,100,0,0,-,1,0,1,1,0,0,0,2,0,8.7
Mo Bamba,PHI,PHI @ LAC,03/24/2024,W,22,5,2,5,40.0,1,2,50.0,0,0,-,2,5,7,1,0,2,0,1,-4,20.9
Daniel Theis,LAC,LAC vs. PHI,03/24/2024,L,6,0,0,2,0.0,0,0,-,0,0,-,0,3,3,2,0,0,0,0,-5,6.6
D.J. Wilson,PHI,PHI @ LAC,03/24/2024,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,0.0
Ivica Zubac,LAC,LAC vs. PHI,03/24/2024,L,29,13,5,9,55.6,0,0,-,3,4,75.0,3,7,10,2,0,4,0,0,5,40.0
Buddy Hield,PHI,PHI @ LAC,03/24/2024,W,23,9,3,7,42.9,3,6,50.0,0,0,-,1,3,4,2,0,0,1,2,2,15.8
Kelly Oubre Jr.,PHI,PHI @ LAC,03/24/2024,W,25,12,5,11,45.5,2,5,40.0,0,0,-,2,0,2,6,0,1,0,2,8,26.4
Kawhi Leonard,LAC,LAC vs. PHI,03/24/2024,L,31,20,7,16,43.8,1,6,16.7,5,5,100,1,5,6,3,1,0,2,1,-1,32.7
Jordan Hawkins,NOP,NOP @ DET,03/24/2024,W,6,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,2,0,0,0,1,-1,4.2
Naji Marshall,NOP,NOP @ DET,03/24/2024,W,24,14,5,10,50.0,4,7,57.1,0,0,-,2,6,8,3,0,0,1,2,10,27.1
CJ McCollum,NOP,NOP @ DET,03/24/2024,W,37,23,9,18,50.0,5,9,55.6,0,0,-,0,2,2,7,1,0,2,2,7,36.9
Jonas Valanciunas,NOP,NOP @ DET,03/24/2024,W,20,13,6,10,60.0,0,1,0.0,1,3,33.3,1,5,6,0,0,1,1,5,6,22.2
Buddy Boeheim,DET,DET vs. NOP,03/24/2024,L,22,13,4,8,50.0,3,7,42.9,2,2,100,0,3,3,3,0,0,0,1,3,21.1
Jared Rhoden,DET,DET vs. NOP,03/24/2024,L,12,5,2,5,40.0,1,3,33.3,0,0,-,0,3,3,0,0,2,0,3,-12,14.6
Herbert Jones,NOP,NOP @ DET,03/24/2024,W,35,7,2,4,50.0,2,3,66.7,1,2,50.0,0,1,1,2,4,1,1,3,-2,25.2
Malachi Flynn,DET,DET vs. NOP,03/24/2024,L,25,17,6,12,50.0,3,7,42.9,2,3,66.7,3,1,4,4,1,0,0,0,-4,30.8
James Wiseman,DET,DET vs. NOP,03/24/2024,L,27,15,5,8,62.5,0,0,-,5,6,83.3,3,8,11,0,0,0,4,5,-1,24.2
Chimezie Metu,DET,DET vs. NOP,03/24/2024,L,39,17,5,8,62.5,0,2,0.0,7,8,87.5,2,6,8,3,1,1,2,5,-13,35.1
Jeremiah Robinson-Earl,NOP,NOP @ DET,03/24/2024,W,1,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-2,0.0
Trey Murphy III,NOP,NOP @ DET,03/24/2024,W,32,8,1,12,8.3,0,9,0.0,6,8,75.0,0,8,8,2,1,4,1,1,13,34.6
Zion Williamson,NOP,NOP @ DET,03/24/2024,W,36,36,13,14,92.9,0,0,-,10,14,71.4,1,6,7,6,2,0,4,2,18,55.4
Emoni Bates,CLE,CLE @ MIA,03/24/2024,L,11,9,3,5,60.0,3,4,75.0,0,0,-,0,0,0,1,0,0,0,0,0,10.5
Tristan Thompson,CLE,CLE @ MIA,03/24/2024,L,10,6,3,4,75.0,0,0,-,0,0,-,2,1,3,1,0,1,2,0,-10,12.1
Delon Wright,MIA,MIA vs. CLE,03/24/2024,W,30,8,3,9,33.3,2,8,25.0,0,0,-,0,4,4,1,0,0,0,0,15,14.3
Georges Niang,CLE,CLE @ MIA,03/24/2024,L,24,6,2,6,33.3,2,4,50.0,0,0,-,0,4,4,2,1,0,3,1,-18,13.8
Thomas Bryant,MIA,MIA vs. CLE,03/24/2024,W,20,14,4,6,66.7,0,2,0.0,6,6,100,1,4,5,3,1,0,1,5,10,26.5
Caleb Martin,MIA,MIA vs. CLE,03/24/2024,W,20,11,3,7,42.9,2,3,66.7,3,4,75.0,1,1,2,2,1,0,0,0,13,19.4
Haywood Highsmith,MIA,MIA vs. CLE,03/24/2024,W,25,18,7,10,70.0,4,4,100,0,0,-,2,3,5,2,1,0,0,1,13,30.0
Evan Mobley,CLE,CLE @ MIA,03/24/2024,L,21,15,4,6,66.7,2,2,100,5,6,83.3,0,4,4,1,0,0,2,3,-22,19.3
Craig Porter Jr.,CLE,CLE @ MIA,03/24/2024,L,27,8,3,6,50.0,0,0,-,2,2,100,1,3,4,4,0,1,2,0,-19,19.8
Sam Merrill,CLE,CLE @ MIA,03/24/2024,L,31,1,0,6,0.0,0,6,0.0,1,1,100,0,2,2,6,0,0,1,2,-16,11.4
Bam Adebayo,MIA,MIA vs. CLE,03/24/2024,W,28,15,7,11,63.6,0,1,0.0,1,2,50.0,3,13,16,3,5,0,1,0,27,52.7
Patty Mills,MIA,MIA vs. CLE,03/24/2024,W,22,10,4,8,50.0,2,5,40.0,0,0,-,0,2,2,3,2,0,1,3,26,21.9
